'tagfield','tagsubfield','name','repeatable','mandatory'
'780','b','Utgave.',0,0
'780','d','Sted, forlag og dato (år) for utgivelse.',0,0
'780','e','Språkkode.',0,0
'780','f','Landekode.',0,0
'780','g','Relasjonsopplysninger. (R)',1,0
'780','h','Materialbetegnelse.',0,0
'780','i','Årstall i "ren" form. (R)',1,0
'780','k','Serie. (R)',1,0
'780','s','Standardtittel',0,0
'780','t','Tittel',0,0
'780','w','Lokalt systems identifikasjonsnummer. (R)',1,0
'780','x','ISSN',0,0
'780','y','CODEN',0,0
'780','z','ISBN',0,0
'780','7','Type hovedordningsord i delfelt $a',0,0
'785','a','Hovedordningsord for posten det lenkes til, hvis dette er et personnavn, korporasjonsnavn eller en standardtittel.',0,0
'785','b','Utgave.',0,0
'785','d','Sted, forlag og dato (år) for utgivelse.',0,0
'785','e','Språkkode.',0,0
'785','f','Landekode.',0,0
'785','g','Relasjonsopplysninger. (R)',1,0
'785','h','Materialbetegnelse.',0,0
'785','i','Årstall i "ren" form. (R)',1,0
'785','k','Serie. (R)',1,0
'785','s','Standardtittel',0,0
'785','t','Tittel',0,0
'785','w','Lokalt systems identifikasjonsnummer. (R)',1,0
'785','x','ISSN',0,0
'785','y','CODEN',0,0
'785','z','ISBN',0,0
'785','7','Type hovedordningsord i delfelt $a',0,0
'787','a','Hovedordningsord for posten det lenkes til, hvis dette er et personnavn, korporasjonsnavn eller en standardtittel.',0,0
'787','b','Utgave.',0,0
'787','d','Sted, forlag og dato (år) for utgivelse.',0,0
